
         1406614 function calls (1383283 primitive calls) in 3.797 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7718    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
      618    0.000    0.000    0.000    0.000 _parser.py:166(__setitem__)
      124    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
      124    0.000    0.000    0.000    0.000 :0(fromkeys)
      273    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
      220    0.000    0.000    0.031    0.000 _parser.py:94(closegroup)
      209    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      209    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
  218/202    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
      405    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
      250    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      187    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
      609    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
      176    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
     5908    0.000    0.000    0.000    0.000 :0(find)
      176    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
      239    0.000    0.000    0.000    0.000 :0(compile)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
       85    0.000    0.000    0.000    0.000 _parser.py:307(_class_escape)
        4    0.000    0.000    0.000    0.000 _parser.py:256(getwhile)
       47    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
      140    0.000    0.000    0.000    0.000 :0(translate)
       47    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       55    0.000    0.000    0.000    0.000 :0(insert)
     2338    0.000    0.000    0.000    0.000 :0(chr)
        1    0.000    0.000    0.000    0.000 encoder.py:74(JSONEncoder)
        1    0.000    0.000    0.000    0.000 encoder.py:105(__init__)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        2    0.000    0.000    0.016    0.008 __init__.py:299(loads)
        2    0.000    0.000    0.016    0.008 decoder.py:332(decode)
     2230    0.000    0.000    0.000    0.000 :0(match)
       34    0.000    0.000    0.000    0.000 :0(end)
