Fri May  5 16:38:17 2023    oldoutput.dat

         88164445 function calls (88156347 primitive calls) in 51.921 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1045    0.001    0.000    0.004    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\colors.py:213(_is_nth_color)
        8    0.001    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\backends\backend_qt.py:681(_icon)
      969    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\enum.py:688(__call__)
       99    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.cleanup_path}
     3574    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      135    0.001    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\backend_bases.py:760(__init__)
        1    0.001    0.001    0.001    0.001 {method 'copy_from_bbox' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      113    0.001    0.000    0.014    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:778(set_clip_path)
        1    0.001    0.001    0.001    0.001 {method 'connect' of '_socket.socket' objects}
       32    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.point_in_path}
      351    0.001    0.000    0.043    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\patches.py:262(get_transform)
      847    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        8    0.001    0.000    0.001    0.000 {built-in method nt.stat}
     1076    0.001    0.000    0.004    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:271(convert_xunits)
       35    0.001    0.000    0.004    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\lines.py:654(recache)
     2288    0.001    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
        1    0.001    0.001    0.001    0.001 {built-in method eraseRect}
        1    0.001    0.001    0.109    0.109 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\axes\_axes.py:2238(bar)
       99    0.001    0.000    0.014    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1376(contains_branch)
      847    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\re\__init__.py:272(_compile)
     2151    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
      446    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
      111    0.001    0.000    0.013    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1413(__sub__)
1453/1393    0.001    0.000    0.008    0.000 {built-in method builtins.next}
      142    0.001    0.000    0.013    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\markers.py:327(_set_marker)
      446    0.001    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1843(transform_affine)
        1    0.001    0.001    0.005    0.005 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\backends\backend_qt.py:641(__init__)
     2157    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1921(get_matrix)
      345    0.001    0.000    0.017    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\patches.py:876(get_bbox)
 1054/689    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2405(<lambda>)
     3646    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:295(axes)
      508    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
       12    0.001    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\ticker.py:778(_set_format)
       37    0.001    0.000    0.011    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\text.py:738(draw)
      100    0.001    0.000    0.008    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\fromnumeric.py:3441(std)
     1075    0.001    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:283(convert_yunits)
       26    0.001    0.000    0.030    0.001 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\backends\backend_qt.py:301(mouseMoveEvent)
       99    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:856(update_from_path)
       12    0.001    0.000    0.005    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\ticker.py:2074(_raw_ticks)
       45    0.001    0.000    0.005    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\lines.py:729(draw)
      390    0.001    0.000    0.004    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2001(rotate_deg)
       15    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      688    0.001    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\contextlib.py:287(helper)
      105    0.001    0.000    0.046    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\patches.py:582(draw)
       32    0.001    0.000    0.016    0.001 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\backend_bases.py:1339(__init__)
      495    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\bezier.py:275(axis_aligned_extrema)
       33    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\backends\backend_qt.py:247(mouseEventCoords)
        3    0.001    0.000    0.001    0.000 {function socket.close at 0x000001F1BB2CC400}
      215    0.001    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\patches.py:317(_set_edgecolor)
       99    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.update_path_extents}
     1008    0.001    0.000    0.005    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\axis.py:1721(convert_units)
      140    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\_api\__init__.py:134(check_shape)
      100    0.001    0.000    0.007    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\_methods.py:263(_std)
     1343    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1039(get_points)
      396    0.001    0.000    0.009    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2162(__eq__)
      990    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\colors.py:384(<genexpr>)
      100    0.001    0.000    0.010    0.000 <__array_function__ internals>:177(mean)
     1236    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1350(_iter_break_from_left_to_right)
      541    0.001    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:103(_stale_axes_callback)
      555    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      397    0.001    0.000    0.006    0.000 <__array_function__ internals>:177(reshape)
      163    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\font_manager.py:807(set_size)
      255    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\cbook\__init__.py:190(__init__)
      349    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      969    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\enum.py:1093(__new__)
      448    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       71    0.001    0.000    0.007    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\text.py:185(_reset_visual_defaults)
       99    0.001    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\shape_base.py:222(vstack)
       70    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:1159(update_from)
      397    0.000    0.000    0.005    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\fromnumeric.py:198(reshape)
  688/673    0.000    0.000    0.006    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\contextlib.py:132(__enter__)
       32    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\backends\backend_qt.py:369(_mpl_modifiers)
       99    0.000    0.000    0.005    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\axes\_base.py:2485(update_datalim)
       95    0.000    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\font_manager.py:588(__init__)
      140    0.000    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\path.py:99(__init__)
      215    0.000    0.000    0.000    0.000 {built-in method builtins.min}
  594/198    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2404(<lambda>)
      190    0.000    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1827(frozen)
       33    0.000    0.000    0.012    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\text.py:918(get_window_extent)
       60    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\lines.py:1137(set_linestyle)
        6    0.000    0.000    0.056    0.009 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\axis.py:1257(_update_ticks)
       26    0.000    0.000    0.014    0.001 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\backend_bases.py:1430(__init__)
      101    0.000    0.000    0.017    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\patches.py:689(__init__)
      345    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\cbook\__init__.py:1327(_to_unmasked_float_array)
      219    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\lines.py:1269(set_xdata)
      347    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:253(x0)
      588    0.000    0.000    0.016    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:1216(_internal_update)
      242    0.000    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\markers.py:277(_recache)
      448    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\copy.py:243(_keep_alive)
      229    0.000    0.000    0.012    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:1227(set)
      105    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\patches.py:399(set_linestyle)
      135    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\path.py:162(_fast_from_codes_and_verts)
       27    0.000    0.000    0.001    0.000 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
      275    0.000    0.000    0.010    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2413(transform_affine)
       99    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\shape_base.py:81(atleast_2d)
       31    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\pathlib.py:56(parse_parts)
      331    0.000    0.000    0.000    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\patches.py:730(get_path)
    84/80    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\spines.py:332(get_spine_transform)
      140    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\path.py:202(_update_values)
      148    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\cbook\__init__.py:880(get_siblings)
      105    0.000    0.000    0.015    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\backends\backend_agg.py:109(draw_path)
      243    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\lines.py:1290(set_ydata)
      116    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1087(__init__)
      235    0.000    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:737(set_figure)
       32    0.000    0.000    0.006    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\path.py:498(contains_point)
      134    0.000    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2254(get_affine)
